date,usd_inr_rate
2015-08-29,66.1905
2015-08-30,66.1505
2015-08-31,66.1505
2015-09-01,66.3475
2015-09-02,66.3575
2015-09-03,66.1625
2015-09-04,66.1075
2015-09-05,66.6625
2015-09-06,66.6855
2015-09-07,66.6855
2015-09-08,66.9065
2015-09-09,66.4705
2015-09-10,66.4765
2015-09-11,66.3775
2015-09-12,66.34
2015-09-13,66.2415
2015-09-14,66.2415
2015-09-15,66.3105
2015-09-16,66.3885
2015-09-17,66.185
2015-09-18,66.1035
2015-09-19,65.7265
2015-09-20,65.8685
2015-09-21,65.8685
2015-09-22,65.6895
2015-09-23,65.8795
2015-09-24,66.21
2015-09-25,66.1915
2015-09-26,66.1315
2015-09-27,66.1705
2015-09-28,66.1705
2015-09-29,66.3
2015-09-30,65.8665
2015-10-01,65.5205
2015-10-02,65.5905
2015-10-03,65.25
2015-10-04,65.3645
2015-10-05,65.3645
2015-10-06,65.1325
2015-10-07,65.2
2015-10-08,64.8875
2015-10-09,64.8985
2015-10-10,64.7415
2015-10-11,64.7795
2015-10-12,64.7795
2015-10-13,64.7475
2015-10-14,65.1185
2015-10-15,64.8835
2015-10-16,64.7685
2015-10-17,64.77
2015-10-18,64.7025
2015-10-19,64.7025
2015-10-20,64.9215
2015-10-21,64.9775
2015-10-22,65.18
2015-10-23,64.89
2015-10-24,65.04
2015-10-25,64.8925
2015-10-26,64.8925
2015-10-27,64.7935
2015-10-28,65.08
2015-10-29,64.8865
2015-10-30,65.45
2015-10-31,65.4065
2015-11-01,65.4225
2015-11-02,65.4225
2015-11-03,65.5925
2015-11-04,65.5835
2015-11-05,65.5
2015-11-06,65.9
2015-11-07,66.11
2015-11-08,66.1405
2015-11-09,66.1405
2015-11-10,66.45
2015-11-11,66.22
2015-11-12,66.13
2015-11-13,66.15
2015-11-14,66.1225
2015-11-15,66.0585
2015-11-16,66.0585
2015-11-17,66.0215
2015-11-18,65.9645
2015-11-19,66.1445
2015-11-20,66.0635
2015-11-21,66.12
2015-11-22,66.0575
2015-11-23,66.0575
2015-11-24,66.3825
2015-11-25,66.3265
2015-11-26,66.3355
2015-11-27,66.66
2015-11-28,66.8875
2015-11-29,66.9075
2015-11-30,66.9075
2015-12-01,66.4375
2015-12-02,66.4695
2015-12-03,66.5425
2015-12-04,66.8315
2015-12-05,66.6655
2015-12-06,66.6435
2015-12-07,66.6435
2015-12-08,66.7655
2015-12-09,66.85
2015-12-10,66.8365
2015-12-11,66.6955
2015-12-12,67.1135
2015-12-13,67.1485
2015-12-14,67.1485
2015-12-15,67.0975
2015-12-16,66.8045
2015-12-17,66.5815
2015-12-18,66.3135
2015-12-19,66.2385
2015-12-20,66.2555
2015-12-21,66.2555
2015-12-22,66.2025
2015-12-23,66.2035
2015-12-24,66.0715
2015-12-25,66.0115
2015-12-26,66.1
2015-12-27,65.9475
2015-12-28,65.9475
2015-12-29,66.1015
2015-12-30,66.2865
2015-12-31,66.4455
2016-01-01,66.2015
2016-01-02,66.2005
2016-01-03,66.2005
2016-01-04,66.2005
2016-01-05,66.5665
2016-01-06,66.5005
2016-01-07,66.7205
2016-01-08,66.61
2016-01-09,66.93
2016-01-10,66.8475
2016-01-11,66.8475
2016-01-12,66.7855
2016-01-13,66.8645
2016-01-14,66.7485
2016-01-15,67.3835
2016-01-16,67.77
2016-01-17,67.7745
2016-01-18,67.7745
2016-01-19,67.6665
2016-01-20,67.6935
2016-01-21,68.0605
2016-01-22,67.9255
2016-01-23,67.5615
2016-01-24,67.5485
2016-01-25,67.5485
2016-01-26,67.7235
2016-01-27,67.7845
2016-01-28,67.9885
2016-01-29,68.0955
2016-01-30,67.9
2016-01-31,67.8775
2016-02-01,67.8775
2016-02-02,67.93
2016-02-03,67.9405
2016-02-04,67.9315
2016-02-05,67.5685
2016-02-06,67.7885
2016-02-07,67.8095
2016-02-08,67.8095
2016-02-09,67.9995
2016-02-10,67.8875
2016-02-11,67.89
2016-02-12,68.4415
2016-02-13,68.1345
2016-02-14,68.1185
2016-02-15,68.1185
2016-02-16,68.1505
2016-02-17,68.4785
2016-02-18,68.3245
2016-02-19,68.5455
2016-02-20,68.76
2016-02-21,68.5455
2016-02-22,68.5455
2016-02-23,68.5395
2016-02-24,68.5655
2016-02-25,68.5435
2016-02-26,68.8475
2016-02-27,68.8305
2016-02-28,68.7375
